"subject","trial","difference","difficulty","referenceSelection"
1,1,"moderate","easier",0
1,2,"moderate","easier",0
1,3,"moderate","easier",1
1,4,"moderate","easier",1
1,5,"moderate","easier",0
1,6,"moderate","easier",0
1,7,"moderate","easier",0
1,8,"moderate","easier",0
1,9,"moderate","easier",1
1,10,"moderate","easier",1
1,11,"moderate","easier",0
1,12,"moderate","easier",1
1,13,"moderate","easier",0
1,14,"moderate","easier",0
1,15,"moderate","easier",1
1,16,"moderate","easier",0
1,17,"moderate","easier",1
1,18,"moderate","easier",0
1,19,"moderate","easier",1
1,20,"moderate","easier",0
1,21,"moderate","easier",1
1,22,"moderate","easier",0
1,23,"moderate","easier",1
1,24,"moderate","easier",0
1,25,"moderate","easier",1
1,26,"moderate","easier",1
1,27,"moderate","easier",1
1,28,"moderate","easier",1
1,29,"moderate","easier",1
1,30,"moderate","easier",1
1,31,"moderate","easier",0
1,32,"moderate","easier",1
1,33,"moderate","easier",0
1,34,"moderate","easier",1
1,35,"moderate","easier",0
1,36,"moderate","easier",0
1,37,"moderate","easier",1
1,38,"moderate","easier",1
1,39,"moderate","easier",1
1,40,"moderate","easier",1
1,41,"moderate","easier",1
1,42,"moderate","easier",1
1,43,"moderate","easier",0
1,44,"moderate","easier",1
1,45,"moderate","easier",1
1,46,"moderate","easier",1
1,47,"moderate","easier",1
1,48,"moderate","easier",1
1,49,"moderate","easier",1
1,50,"moderate","easier",1
1,51,"moderate","easier",1
1,52,"moderate","easier",1
1,53,"moderate","easier",1
1,54,"moderate","easier",1
1,55,"moderate","easier",0
1,56,"moderate","easier",1
1,57,"moderate","easier",0
1,58,"moderate","easier",0
1,59,"moderate","easier",1
1,60,"moderate","easier",0
1,61,"moderate","easier",1
1,62,"moderate","easier",1
1,63,"moderate","easier",1
1,64,"moderate","easier",1
1,65,"moderate","easier",0
1,66,"moderate","easier",0
1,67,"moderate","easier",0
1,68,"moderate","easier",0
1,69,"moderate","easier",1
1,70,"moderate","easier",1
1,71,"moderate","easier",0
1,72,"moderate","easier",0
1,73,"moderate","easier",0
1,74,"moderate","easier",0
1,75,"moderate","easier",0
1,76,"moderate","easier",0
1,77,"moderate","easier",0
1,78,"moderate","easier",0
1,79,"moderate","easier",1
1,80,"moderate","easier",1
1,81,"moderate","easier",0
1,82,"moderate","easier",1
1,83,"moderate","easier",0
1,84,"moderate","easier",0
1,85,"moderate","easier",1
1,86,"moderate","easier",0
1,87,"moderate","easier",1
1,88,"moderate","easier",1
1,89,"moderate","easier",0
1,90,"moderate","easier",1
1,91,"moderate","easier",1
1,92,"moderate","easier",1
1,93,"moderate","easier",0
1,94,"moderate","easier",1
1,95,"moderate","easier",1
1,96,"moderate","easier",0
1,97,"moderate","easier",0
1,98,"moderate","easier",1
1,99,"moderate","easier",0
1,100,"moderate","easier",0
1,101,"moderate","easier",0
1,102,"moderate","easier",0
1,103,"moderate","easier",0
1,104,"moderate","easier",1
1,105,"moderate","easier",0
1,106,"moderate","easier",1
1,107,"moderate","easier",1
1,108,"moderate","easier",0
1,109,"moderate","easier",0
1,110,"moderate","easier",1
1,111,"moderate","easier",0
1,112,"moderate","easier",1
1,113,"moderate","easier",1
1,114,"moderate","easier",1
1,115,"moderate","easier",1
1,116,"moderate","easier",1
1,117,"moderate","easier",1
1,118,"moderate","easier",1
1,119,"moderate","easier",0
1,120,"moderate","easier",1
1,121,"moderate","easier",0
1,122,"moderate","easier",0
1,123,"moderate","easier",0
1,124,"moderate","easier",1
1,125,"moderate","easier",1
1,126,"moderate","easier",0
1,127,"moderate","easier",1
1,128,"moderate","easier",0
1,129,"moderate","easier",0
1,130,"moderate","easier",1
1,131,"moderate","easier",0
1,132,"moderate","easier",1
1,133,"moderate","easier",0
1,134,"moderate","easier",1
1,135,"moderate","easier",1
1,136,"moderate","easier",0
1,137,"moderate","easier",1
1,138,"moderate","easier",1
1,139,"moderate","easier",0
1,140,"moderate","easier",1
1,141,"moderate","easier",0
1,142,"moderate","easier",1
1,143,"moderate","easier",1
1,144,"moderate","easier",1
1,145,"moderate","easier",0
1,146,"moderate","easier",0
1,147,"moderate","easier",1
1,148,"moderate","easier",0
1,149,"moderate","easier",0
1,150,"moderate","easier",0
1,151,"moderate","easier",0
1,152,"moderate","easier",0
1,153,"moderate","easier",0
1,154,"moderate","easier",0
1,155,"moderate","easier",1
1,156,"moderate","easier",0
1,157,"moderate","easier",0
1,158,"moderate","easier",0
1,159,"moderate","easier",0
1,160,"moderate","easier",1
1,161,"moderate","easier",0
1,162,"moderate","easier",1
1,163,"moderate","easier",0
1,164,"moderate","easier",1
1,165,"moderate","easier",0
1,166,"moderate","easier",1
1,167,"moderate","easier",0
1,168,"moderate","easier",0
1,169,"moderate","easier",1
1,170,"moderate","easier",1
1,171,"moderate","easier",1
1,172,"moderate","easier",1
1,173,"moderate","easier",0
1,174,"moderate","easier",1
1,175,"moderate","easier",0
1,1,"extreme","easier",0
1,2,"extreme","easier",0
1,3,"extreme","easier",0
1,4,"extreme","easier",0
1,5,"extreme","easier",0
1,6,"extreme","easier",0
1,7,"extreme","easier",0
1,8,"extreme","easier",1
1,9,"extreme","easier",0
1,10,"extreme","easier",1
1,11,"extreme","easier",1
1,12,"extreme","easier",0
1,13,"extreme","easier",1
1,14,"extreme","easier",0
1,15,"extreme","easier",0
1,16,"extreme","easier",1
1,17,"extreme","easier",0
1,18,"extreme","easier",0
1,19,"extreme","easier",1
1,20,"extreme","easier",1
1,21,"extreme","easier",1
1,22,"extreme","easier",1
1,23,"extreme","easier",1
1,24,"extreme","easier",0
1,25,"extreme","easier",1
1,26,"extreme","easier",0
1,27,"extreme","easier",1
1,28,"extreme","easier",0
1,29,"extreme","easier",1
1,30,"extreme","easier",0
1,31,"extreme","easier",1
1,32,"extreme","easier",1
1,33,"extreme","easier",0
1,34,"extreme","easier",1
1,35,"extreme","easier",0
1,36,"extreme","easier",1
1,37,"extreme","easier",0
1,38,"extreme","easier",1
1,39,"extreme","easier",1
1,40,"extreme","easier",0
1,41,"extreme","easier",0
1,42,"extreme","easier",0
1,43,"extreme","easier",0
1,44,"extreme","easier",0
1,45,"extreme","easier",1
1,46,"extreme","easier",0
1,47,"extreme","easier",0
1,48,"extreme","easier",1
1,49,"extreme","easier",1
1,50,"extreme","easier",1
1,51,"extreme","easier",0
1,52,"extreme","easier",1
1,53,"extreme","easier",1
1,54,"extreme","easier",1
1,55,"extreme","easier",1
1,56,"extreme","easier",1
1,57,"extreme","easier",1
1,58,"extreme","easier",0
1,59,"extreme","easier",1
1,60,"extreme","easier",0
1,61,"extreme","easier",0
1,62,"extreme","easier",0
1,63,"extreme","easier",1
1,64,"extreme","easier",0
1,65,"extreme","easier",1
1,66,"extreme","easier",1
1,67,"extreme","easier",1
1,68,"extreme","easier",0
1,69,"extreme","easier",1
1,70,"extreme","easier",0
1,71,"extreme","easier",0
1,72,"extreme","easier",0
1,73,"extreme","easier",0
1,74,"extreme","easier",0
1,75,"extreme","easier",1
1,76,"extreme","easier",1
1,77,"extreme","easier",0
1,78,"extreme","easier",0
1,79,"extreme","easier",1
1,80,"extreme","easier",0
1,81,"extreme","easier",0
1,82,"extreme","easier",0
1,83,"extreme","easier",0
1,84,"extreme","easier",1
1,85,"extreme","easier",0
1,86,"extreme","easier",1
1,87,"extreme","easier",0
1,88,"extreme","easier",1
1,89,"extreme","easier",1
1,90,"extreme","easier",1
1,91,"extreme","easier",0
1,92,"extreme","easier",1
1,93,"extreme","easier",1
1,94,"extreme","easier",0
1,95,"extreme","easier",0
1,96,"extreme","easier",0
1,97,"extreme","easier",1
1,98,"extreme","easier",0
1,99,"extreme","easier",0
1,100,"extreme","easier",0
1,101,"extreme","easier",0
1,102,"extreme","easier",0
1,103,"extreme","easier",0
1,104,"extreme","easier",0
1,105,"extreme","easier",0
1,106,"extreme","easier",0
1,107,"extreme","easier",1
1,108,"extreme","easier",0
1,109,"extreme","easier",0
1,110,"extreme","easier",1
1,111,"extreme","easier",1
1,112,"extreme","easier",0
1,113,"extreme","easier",1
1,114,"extreme","easier",1
1,115,"extreme","easier",1
1,116,"extreme","easier",1
1,117,"extreme","easier",1
1,118,"extreme","easier",1
1,119,"extreme","easier",0
1,120,"extreme","easier",1
1,121,"extreme","easier",0
1,122,"extreme","easier",0
1,123,"extreme","easier",0
1,124,"extreme","easier",1
1,125,"extreme","easier",0
1,126,"extreme","easier",0
1,127,"extreme","easier",0
1,128,"extreme","easier",1
1,129,"extreme","easier",0
1,130,"extreme","easier",0
1,131,"extreme","easier",0
1,132,"extreme","easier",1
1,133,"extreme","easier",0
1,134,"extreme","easier",0
1,135,"extreme","easier",1
1,136,"extreme","easier",1
1,137,"extreme","easier",1
1,138,"extreme","easier",0
1,139,"extreme","easier",0
1,140,"extreme","easier",0
1,141,"extreme","easier",0
1,142,"extreme","easier",0
1,143,"extreme","easier",0
1,144,"extreme","easier",0
1,145,"extreme","easier",0
1,146,"extreme","easier",0
1,147,"extreme","easier",0
1,148,"extreme","easier",0
1,149,"extreme","easier",1
1,150,"extreme","easier",1
1,151,"extreme","easier",1
1,152,"extreme","easier",0
1,153,"extreme","easier",1
1,154,"extreme","easier",1
1,155,"extreme","easier",1
1,156,"extreme","easier",1
1,157,"extreme","easier",0
1,158,"extreme","easier",1
1,159,"extreme","easier",0
1,160,"extreme","easier",0
1,161,"extreme","easier",0
1,162,"extreme","easier",0
1,163,"extreme","easier",0
1,164,"extreme","easier",0
1,165,"extreme","easier",1
1,166,"extreme","easier",1
1,167,"extreme","easier",0
1,168,"extreme","easier",0
1,169,"extreme","easier",1
1,170,"extreme","easier",0
1,171,"extreme","easier",1
1,172,"extreme","easier",0
1,173,"extreme","easier",0
1,174,"extreme","easier",1
1,175,"extreme","easier",1
1,1,"moderate","harder",1
1,2,"moderate","harder",1
1,3,"moderate","harder",1
1,4,"moderate","harder",1
1,5,"moderate","harder",1
1,6,"moderate","harder",0
1,7,"moderate","harder",1
1,8,"moderate","harder",1
1,9,"moderate","harder",1
1,10,"moderate","harder",1
1,11,"moderate","harder",1
1,12,"moderate","harder",1
1,13,"moderate","harder",1
1,14,"moderate","harder",1
1,15,"moderate","harder",0
1,16,"moderate","harder",1
1,17,"moderate","harder",1
1,18,"moderate","harder",0
1,19,"moderate","harder",0
1,20,"moderate","harder",0
1,21,"moderate","harder",1
1,22,"moderate","harder",1
1,23,"moderate","harder",1
1,24,"moderate","harder",0
1,25,"moderate","harder",0
1,26,"moderate","harder",1
1,27,"moderate","harder",0
1,28,"moderate","harder",1
1,29,"moderate","harder",1
1,30,"moderate","harder",1
1,31,"moderate","harder",1
1,32,"moderate","harder",0
1,33,"moderate","harder",1
1,34,"moderate","harder",0
1,35,"moderate","harder",0
1,36,"moderate","harder",1
1,37,"moderate","harder",0
1,38,"moderate","harder",0
1,39,"moderate","harder",1
1,40,"moderate","harder",0
1,41,"moderate","harder",0
1,42,"moderate","harder",0
1,43,"moderate","harder",1
1,44,"moderate","harder",0
1,45,"moderate","harder",0
1,46,"moderate","harder",1
1,47,"moderate","harder",0
1,48,"moderate","harder",0
1,49,"moderate","harder",1
1,50,"moderate","harder",1
1,51,"moderate","harder",0
1,52,"moderate","harder",0
1,53,"moderate","harder",0
1,54,"moderate","harder",1
1,55,"moderate","harder",1
1,56,"moderate","harder",1
1,57,"moderate","harder",1
1,58,"moderate","harder",1
